Nº DCB ;DENOMINAÇÃO COMUM BRASILEIRA;Nº CAS
05173;lasofoxifeno;180916-16-9
05174;latamoxefe;64952-97-2
05175;latanoprosta;130209-82-4
10390;Latrodectus mactans  ;[Ref. 8]
10391;Latyrus sativus;[Ref. 8]
11177;laurato de nandrolona;26490-31-3
05176;laurato de sorbitana;1338-39-2
05177;lauriletersulfato de sódio;1335-72-4
05647;laurilsulfato de mepartricina;[Ref. 5]
06002;laurilsulfato de mirtecaína;[Ref. 4]
05178;laurilsulfato de sódio;151-21-3
10969;laurilsulfato de trietanolamina ;139-96-8
09464;laurilsulfato sódico de mepartricina;59392-70-0
05179;laurixamina;7617-74-5
05180;laurocapram;59227-89-3
10392;Laurocerasus  ;[Ref. 8]
05181;lauroguadina;135-43-3
05183;lauromacrogol 400;9002-92-0
11053;Lavandula angustifolia Mill.;[Ref. 6]
05184;lavoltidina;76956-02-0
05185;lazabemida;103878-84-8
05186;lecimibida;130804-35-2
05187;lecitina de ovo;8002-43-5
09542;lecitina de soja;8030-76-0
05188;ledazerol;116795-97-2
11224;ledipasvir;1256388-51-8
05189;ledoxantrona;113457-05-9
10393;Ledum palustre ;[Ref. 8]
05190;lefetamina;7262-75-1
05192;leflunomida;75706-12-6
05193;leiopirrol;5633-16-9
05194;lemalesomabe;250242-54-7
05195;lemidosul;88041-40-1
10394;Lemna minor ;[Ref. 8]
05196;lemoxinol;[Ref. 1]
05197;lemperona;24678-13-5
09655;lenalidomida;191732-72-6
05198;lenampicilina;86273-18-9
05199;lenercepte;156679-34-4
05200;leniquinsina;10351-50-5
05201;lenograstim;135968-09-1
11116;lenvatinibe;417716-92-8
05202;lepirudina;138068-37-8
05203;leptaclina;5005-72-1
10395;Leptandra virginica ;[Ref. 8]
05204;lercanidipino;100427-26-7
05206;lerdelimumabe;285985-06-0
05207;lergotrila;36945-03-6
05208;leridistim;193700-51-5
11117;lesinurade;878672-00-5
10396;Lespedeza capitata ;[Ref. 8]
05209;leteprinim;138117-50-7
05210;letimida;26513-90-6
05211;letosteína;53943-88-7
05212;letrazurila;103337-74-2
05213;letrozol;112809-51-5
05214;leuciglúmer;41385-14-2
05215;leucina;61-90-5
05217;leucinocaína;92-23-9
05218;leucocianidol;480-17-1
05219;leuprorrelina;53714-56-0
05221;leurrubicina;70774-25-3
05222;levacetilmetadol;34433-66-4
05223;levalorfano;152-02-3
05224;levamisol;14769-73-4
05227;levanfetamina;156-34-3
09861;levanlodipino;103129-82-4
09486;levedura;[Ref. 4]
05231;levemopamil;101238-51-1
05232;levetiracetam;102767-28-2
05233;levisoprenalina;51-31-0
05234;levlofexidina;81447-78-1
10913;levoalfafosfatidilcolina distearoila;816-94-4
05235;levobetaxolol;93221-48-8
05237;levobunolol;47141-42-4
05239;levobupivacaína;27262-47-1
05240;levocabastina;79516-68-0
05242;levocarnitina;541-15-1
05244;levocetirizina;130018-77-8
05246;levociclosserina;339-72-0
05247;levocromacalim;94535-50-9
05248;levodobutamina;61661-06-1
05249;levodopa;59-92-7
05250;levodropropizina;99291-25-5
05251;levofacetoperano;24558-01-8
05253;levofenacilmorfano;10061-32-2
05256;levofenfluramina;37577-24-5
05257;levofloxacino;100986-85-4
10688;levofloxacino hemi-hidratado;138199-71-0
05258;levofolinato de cálcio;80433-71-2
05259;levofuraltadona;3795-88-8
10063;levoglutamato de sódio monoidratado;6106-04-3
09937;levomefolato de cálcio;151533-22-1
05261;levomenol;23089-26-1
05262;levomentol;2216-51-5
05263;levomepromazina;60-99-1
05266;levometadona;125-58-6
05269;levometanfetamina;33817-09-3
05270;levometiomeprazina;1759-09-7
05839;levometionina;63-68-3
05271;levometorfano;125-70-2
11265;levomilnaciprana;96847-55-0
05274;levomoprolol;77164-20-6
05275;levomoramida;5666-11-5
05277;levonantradol;71048-87-8
10944;levonorcarboxideltatetraidrocanabinol;56354-06-4
05279;levonorgestrel;797-63-7
10769;levopantoprazol sódico;160488-53-9
10778;levopantoprazol sódico tri-hidratado;1416988-58-3
00324;levopidolato de sódio;54571-67-4
05280;levopropicilina;3736-12-7
05281;levopropilexedrina;6192-97-8
05283;levopropoxifeno;2338-37-6
05284;levoprotilina;76496-68-9
05285;levorfanol;77-07-6
05290;levosemotiadil;116476-16-5
05291;levosimendana;141505-33-1
05292;levossalbutamol;34391-04-3
05293;levossulpirida;23672-07-3
05294;levotiroxina;51-48-9 
05295;levotiroxina sódica;55-03-8
05296;levotiroxina sódica monoidratada;25416-65-3
05297;levotiroxina sódica pentaidratada;[Ref. 3]
09076;levovalina;72-18-4
05298;levoxadrol;4792-18-1
05299;levulinato de cálcio;591-64-0
05300;lexacalcitol;131875-08-6
09746;lexidronam (153 Sm);154427-83-5
10056;lexidronam pentassódico (153 Sm);[Ref. 8]
05301;lexipafanto;139133-26-9
05302;lexitromicina;53066-26-5
05303;lexofenaco;41387-02-4
05304;liarozol;145858-51-1
05305;liatermina;188630-14-0
05306;libenzapril;97878-35-8
11054;Libidibia ferrea (Mart.) L.P. Queiroz;[Ref. 6]
05307;licarbazepina;29331-92-8
09488;licopeno;502-65-8
05308;licostinel;153504-81-5
05309;lidamidina;66871-56-5
05311;lidanserina;73725-85-6
05312;lidimicina;10118-85-1
05313;lidocaína;137-58-6
05315;lidofenina;59160-29-1
10057;lidofenina (99m Tc);[Ref. 8]
05316;lidoflazina;3416-26-0
05317;lifarizina;119514-66-8
05318;lifibrato;22204-91-7
05319;lifibrol;96609-16-4
10397;Lilium tigrinum ;[Ref. 8]
05320;lilopristona;97747-88-1
05321;limaprosta;88852-12-4
05322;limeciclina;992-21-2
10667;limoneno;138-86-3
11118;linaclotida;851199-59-2
09829;linagliptina;668270-12-0
05323;linaroteno;127304-28-3
05324;lincomicina;154-21-2
05326;lindano;58-89-9
05327;linestrenol;52-76-6
05328;linezolida;165800-03-3
05329;linoglirida;75358-37-1
05331;linopirdina;105431-72-9
05332;linsidomina;33876-97-0
05333;lintoprida;107429-63-0
05334;liotironina ;6893-02-3
05336;liotironina (125 I);24359-14-6
05337;liotironina (131 I);20196-64-9
05338;liotironina sódica;55-06-1
05339;liotrix;8065-29-0
09489;lipase;9014-49-7
10921;lipegfilgrastim;1117844-87-7
09490;lipocaico;11144-18-6
10874;Lippia alba (Mill.) N.E. Br. ex Britton & P. Wilson;[Ref. 6]
10875;Lippia sidoides Cham.;[Ref. 6]
05340;lipressina;50-57-7
09666;liraglutida ;204656-20-2 
05341;liranaftato;88678-31-3
05342;lirequinila;143943-73-1
05343;lirimilaste;329306-27-6
05344;liroldina;105102-20-3
05345;lisadimato;136-44-7
10852;lisados bacterianos (Staphylococcus aureus, Streptococcus pyogenes, Streptococcus mitis, Streptococcus pneumoniae, Klebsiella pneumoniae, Branhamella catarrhalis, Haemophilus influenzae) ;[Ref. 8]
09708;lisdexanfetamina;608137-32-2
05346;lisergida;50-37-3
05347;lisina;56-87-1
01830;lisinato de cefalexina;53950-14-4
01961;lisinato de cetoprofeno;57469-78-0
04775;levolisinato de raceibuprofeno ;57469-76-8
05352;lisinopril;76547-98-3
09491;lisinopril di-hidratado;83915-83-7
05354;lisofilina;100324-81-0
05355;lisozima;9001-63-2
05357;lisurida;18016-80-3
10398;Lithium carbonicum ;[Ref. 8]
05359;litomeglovir;321915-31-5
05360;litoxetina;86811-09-8
05361;litraceno;5118-30-9
05362;livaraparina cálcica;[Ref. 4]
05363;lividomicina;36441-41-5
05364;lixazinona;94192-59-3
10643;lixisenatida;320367-13-3
05366;lixivaptana;168079-32-1
05367;lobaplatina;135558-11-1
10399;Lobelia inflata  ;[Ref. 8]
05368;lobelina;90-69-7
05370;lobendazol;6306-71-4
05371;lobenzarite;63329-53-3
05372;lobucavir;127759-89-1
05373;lobuprofeno;96128-90-4
05374;lodaxaprina;93181-81-8
05375;lodazecar;87646-83-1
05376;lodelabeno;93105-81-8
05377;lodenosina;110143-10-7
05378;lodinixila;86627-50-1
05379;lodiperona;72444-63-4
05380;lodoxamida;53882-12-5
09610;lodoxamida trometamol;63610-09-3
05381;lofemizol;65571-68-8
05382;lofendazam;29176-29-2
05383;lofentanila;61380-40-3
05385;lofepramina;23047-25-8
05387;lofexidina;31036-80-3
05389;loflazepato de etila;29177-84-2
05390;loflucarbana;790-69-2
05391;lombazol;60628-98-0
05392;lomefloxacino;98079-51-7
05394;lometralina;39951-65-0
05396;lometrexol;106400-81-1
05397;lomevactona;81478-25-3
05398;lomifilina;10226-54-7
10810;lomitapida;182431-12-5
05399;lomustina;13010-47-4
05400;lonapaleno;91431-42-4
05401;lonaprofeno;41791-49-5
05402;lonazolaco;53808-88-1
05403;lonidamina;50264-69-2
05404;loperamida;53179-11-6
05407;lopinavir;192725-17-0
05408;lopirazepam;42863-81-0
05409;lopobutana;6582-30-5
05410;loprazolam;61197-73-7
05412;loprodiol;2209-86-1
05413;loracarbefe;76470-66-1
05414;lorajmina;47562-08-3
05415;loraprida;68677-06-5
05416;loratadina;79794-75-5
05417;lorazepam;846-49-1
05420;lorbamato;24353-88-6
05421;lorcainida;59729-31-6
10853;lorcasserina;616202-92-7
05423;lorcinadol;104719-71-3
05424;loreclezol;117857-45-1
05425;lorglumida;97964-56-2
05426;lormetazepam;848-75-9
05427;lornoxicam;70374-39-9
05428;lorpiprazol;108785-69-9
05429;lortalamina;70384-91-7
05430;lorzafona;59179-95-2
05431;losartana;114798-26-4
05432;losartana potássica;124750-99-8
05433;losigamona;112856-44-7
05434;losindol;69175-77-5
05435;losmiprofeno;74168-08-4
05436;losoxantrona;88303-60-0
05437;losulazina;72141-57-2
05438;loteprednol;129260-79-3
05440;lotifazol;71119-10-3
05441;lotrafibana;171049-14-2
05442;lotrifeno;66535-86-2
05443;lotucaína;52304-85-5
05444;lovastatina;75330-75-5
05445;lovirida;147362-57-0
05446;loxanaste;69915-62-4
05447;loxapina;1977-10-2
05449;loxiglumida;107097-80-3
05450;loxoprofeno;68767-14-6
05451;loxoprofeno sódico ;80382-23-6
05452;loxoribina;121288-39-9
05453;lozilureia;71475-35-9
05454;lubeluzol;144665-07-6
05455;lucantona;479-50-5
05457;lucartamida;76743-10-7
05458;lucimicina;13058-67-8
05459;lufenurona;103055-07-8
10400;Luffa operculata ;[Ref. 8]
05460;lufironila;128075-79-6
05461;lufuradom;85118-42-9
05462;lumefantrina;82186-77-4
09334;lumiracoxibe;220991-20-8
05463;lupitidina;83903-06-4
05464;luprostiol;67110-79-6
10982;lurasidona ;367514-87-2
05465;lurosetrona;128486-54-4
05466;lurtotecana;149882-10-0
05467;lusaperidona;214548-46-6
05468;lusupultida;200074-80-2
05469;lutrelina;66866-63-5
05471;luxabendazol;90509-02-7
10401;Lycopersicum esculentum;[Ref. 8]
10402;Lycopodium clavatum ;[Ref. 8]
10403;Lycopus virginicus ;[Ref. 8]
05472;mabuprofeno;82821-47-4
05473;mabuterol;56341-08-3
10983;macitentana;441798-33-0
10644;macroagregado de albumina;70536-17-3
05474;macrogol;25322-68-3
05476;macrosalbe (131 I);54182-63-7
05477;macrosalbe (99m Tc);54277-47-3
05478;maduramicina;84878-61-5
05479;mafenida;138-39-6
05481;mafoprazina;80428-29-1
05482;mafosfamida;88859-04-5
05483;magaldrato;74978-16-8
10404;Magnesia carbonica;[Ref. 8]
10405;Magnesia muriatica;[Ref. 8]
10406;Magnesia oxydata;[Ref. 8]
10407;Magnesia phosphorica         ;[Ref. 8]
10408;Magnesia sulphurica;[Ref. 8]
10409;Magnolia glauca;[Ref. 8]
05484;maitansina;35846-53-8
02192;malato de citrulina;54940-97-5
02205;malato de cleboprida;57645-91-7
06187;malato de nafomina;23247-36-1
07241;malato de pizotifeno;5189-11-7
09465;malato de sunitinibe;341031-54-7
00045;maleato de acepromazina;3598-37-6
00412;maleato de adaprolol;121009-31-2
00806;maleato de anlodipino;88150-47-4
00848;maleato de aptazapina;71576-41-5
09643;maleato de asenapina;85650-56-2
00971;maleato de azanator;39624-65-2
01478;maleato de bronfeniramina;980-71-2
01737;maleato de carbinoxamina;3505-38-2
01794;maleato de carpipramina;100482-23-3
02007;maleato de cicliramina;5781-37-3
02098;maleato de cinepazete;50679-07-7
02100;maleato de cinepazida;26328-04-1
09492;maleato de cipralisanto;223420-20-0
02219;maleato de clentiazem;96128-92-6
02442;maleato de clorfeniramina;113-92-8
02698;maleato de dazadrol;25387-70-6
02833;maleato de dexbronfeniramina;2391-03-9
02839;maleato de dexclorfeniramina;2438-32-6
03070;maleato de dimetindeno;3614-69-5
03159;maleato de dizocilpina;77086-22-7
03180;maleato de domperidona;99497-03-7
03286;maleato de eclanamina;71027-14-0
03370;maleato de enalapril;76095-16-4
03483;maleato de ergometrina;129-51-1
03948;maleato de feniramina;132-20-7
04064;maleato de flavodilol;79619-32-2
04189;maleato de flupirtina;75507-68-5
04235;maleato de fluvoxamina;61718-82-9
09709;maleato de indacaterol;753498-25-8
05265;maleato de levomepromazina;7104-38-3
05358;maleato de lisurida;19875-60-6
05652;maleato de mepiramina;59-33-6
05802;maleato de metilergometrina;57432-61-8
11178;maleato de metopromazina;3403-42-7
05939;maleato de midazolam;59467-94-6
06272;maleato de nelezaprina;107407-62-5
06463;maleato de nomifensina;32795-47-4
11179;maleato de paroxetina;64006-44-6
06940;maleato de pentiapina;81382-52-7
06977;maleato de perexilina;6724-53-4
07061;maleato de pimetixeno;13187-06-9
07098;maleato de piperamida;1252-69-3
07314;maleato de pravadolina;92623-84-2
07592;maleato de quipazina;5786-68-5
07813;maleato de rosiglitazona;155141-29-0
07953;maleato de sergolexol;108674-87-9
08235;maleato de suricainida;85053-47-0
08239;maleato de suronacrina;113108-86-4
09493;maleato de tegaserode;189188-57-6
08604;maleato de timolol;26921-17-5
08910;maleato de trimebutina;34140-59-5
08928;maleato de trimipramina;521-78-8
08943;maleato de tripelenamina;58044-99-8
09111;maleato de velnacrina;118909-22-1
09246;maleato de zatosetrona;123482-23-5
05851;maleato hidrogenado de metisergida;129-49-7
05485;maleilsulfatiazol;515-57-1
05486;maletâmer;29535-27-1
05487;malotilato;59937-28-9
10970;maltitol;585-88-6
09868;maltol;118-71-8
05488;maltose;69-79-4
09911;Malva sylvestris L.;[Ref. 6]
05766;mandelato de metenamina;587-23-5
10411;Mandragora officinarum ;[Ref. 8]
05489;mangafodipir;155319-91-8
10412;Manganum aceticum ;[Ref. 8]
10413;Manganum metallicum;[Ref. 8]
10414;Manganum sulphuricum;[Ref. 8]
05490;manidipino;120092-68-4
05491;manifaxina;135306-39-7
10689;manitol;69-65-8
05494;manomustina;576-68-1
05495;manossulfano;7518-35-6
05496;manozodil;77528-67-7
05497;mapinastina;140945-32-0
05498;maprotilina;10262-69-8
09624;maraviroque;376348-65-1
05501;marbofloxacino;115550-35-1
05502;maribavir;176161-24-3
05503;maridomicina;35775-82-7
05504;marimastate;154039-60-8
05505;mariptilina;60070-14-6
05506;maroxepina;65509-24-2
11002;Marsdenia cundurango Rchb. f.;[Ref. 6]
05507;masoprocol;27686-84-6
10238;Matricaria chamomilla ;[Ref. 8]
10832;Matricaria chamomilla L.;[Ref. 6]
10876;Matricaria recutita L.;[Ref. 6]
05508;maxacalcitol;103909-75-7
11003;Maytenus aquifolia Mart.;[Ref. 6]
10877;Maytenus ilicifolia Mart. ex Reissek;[Ref. 6]
05509;mazapertina;134208-17-6
05510;mazaticol;42024-98-6
05511;mazindol;22232-71-9
05512;mazipredona;13085-08-0
05513;mazocalim;164178-54-5
05514;mebanazina;65-64-5
05515;mebendazol;31431-39-7
05516;mebenosídeo;55902-93-7
05517;mebeverina;3625-06-7
05519;mebidrolina;524-81-2
05521;mebiquina;23910-07-8
05522;mebolazina;3625-07-8
05523;mebrofenina;78266-06-5
10058;mebrofenina (99m Tc);[Ref. 8]
05524;mebutamato;64-55-1
10059;mebutato de ingenol;75567-37-2
05525;mebutizida;3568-00-1
05527;mecamilamina;60-40-2
05528;mecarbinato;15574-49-9
05529;mecasermina;68562-41-4
05530;meciadanol;65350-86-9
05531;mecilinam;32887-01-7
05532;mecinarona;26225-59-2
05533;mecisteína;2485-62-3
05534;meclociclina;2013-58-3
00284;meclofenamato de sódio monoidratado;6385-02-0
05536;meclofenoxato;51-68-3
05538;meclonazepam;58662-84-3
05539;mecloqualona;340-57-8
05540;mecloralureia;1954-79-6
05541;meclorisona;4732-48-3
05543;mecloxamina;5668-06-4
05544;meclozina;569-65-3
05546;mecobalamina;13422-55-4
05547;mecrilato;137-05-3
05548;medazepam;2898-12-6
05550;medazomida;300-22-1
05551;medetomidina;86347-14-0
05553;medibazina;53-31-6
10415;Medicago sativa ;[Ref. 8]
05554;medifoxamina;32359-34-5
05555;medorinona;88296-61-1
05556;medorrubicina;64314-52-9
05557;medrilamina;524-99-2
05558;medrisona;2668-66-8
05559;medrogestona;977-79-7
09794;medronato de sódio (99m Tc);121524-79-6
05560;medroxalol;56290-94-9
05562;medroxiprogesterona;520-85-4
05564;mefeclorazina;1243-33-0
10945;mefedrona;1189805-46-6
05565;mefenesina;59-47-2
05566;mefenidil;58261-91-9
05568;mefenitoína;50-12-4
05569;mefenorex;17243-57-1
05571;mefenoxalona;70-07-5
05572;mefentermina;100-92-5
05574;mefeserpina;3735-85-1
05575;mefexamida;1227-61-8
05576;mefloquina;53230-10-7
05578;mefrusida;7195-27-9
05579;megalomicina;28022-11-9
05581;megestrol;3562-63-8
05583;meglitinida;54870-28-9
05584;megluciclina;31770-79-3
05585;meglumina;6284-40-8
05603;meglutol;503-49-1
11034;mel;8028-66-8
05604;meladrazina;13957-36-3
05605;melagatrana;159776-70-2
10833;Melaleuca alternifolia Cheel ;[Ref. 6]
05606;melarsomina;128470-15-5
05607;melarsonila potássica;13355-00-5
05608;melarsoprol;494-79-1
11038;melatonina;73-31-4
05609;melengestrol;5633-18-1
05611;meletimida;14745-50-7
05612;melevodopa;7101-51-1
05613;melfalana;148-82-3
10416;Melilotus officinalis  ;[Ref. 8]
10727;Melilotus officinalis (L.) Pall. ;[Ref. 6]
05615;melinamida;14417-88-0
09913;Melissa officinalis L. ;[Ref. 6]
05616;melitraceno;5118-29-6
05618;melizamo;26921-72-2
05619;meloxicam;71125-38-7
05620;melperona;3575-80-2
05621;melquinaste;87611-28-7
05622;meluadrina;134865-33-1
05623;memantina;19982-08-2
05624;membutona;3562-99-0
05625;memotina;18429-69-1
05627;menabitana;83784-21-8
05629;menadiol;481-85-6
05634;menadiona;58-27-5
05637;menatetrenona;863-61-6
05638;menfegol;57821-32-6
05639;menglitato;579-94-2
10417;Menispermum canadense ;[Ref. 8]
05640;menitrazepam;28781-64-8
05641;menoctona;14561-42-3
05642;menogarila;71628-96-1
09383;menotropina;9002-68-0
11274;Mentha arvensis L.;[Ref. 6]
10728;Mentha crispa L.;[Ref. 6]
10418;Mentha piperita ;[Ref. 8]
09914;Mentha x piperita L.;[Ref. 6]
11302;mentholum;[Ref. 8]*
05643;mentol;89-78-1
10419;Menyanthes trifoliata ;[Ref. 8]
05644;meobentina;46464-11-3
05645;mepacrina;83-89-6
05646;mepartricina;11121-32-7
09955;mepessuccinato de omacetaxina;26833-87-4
10420;Mephitis mephitica ;[Ref. 8]
05648;mepindolol;23694-81-7
05649;mepiprazol;20326-12-9
05650;mepiramina;91-84-9
05654;mepiroxol;6968-72-5
05655;mepitiostano;21362-69-6
05656;mepivacaína;22801-44-1
05658;mepixanox;17854-59-0
05659;mepolizumabe;196078-29-2
05660;mepramidil;23891-60-3
05661;meprednisona;1247-42-3
05663;meprilcaína;495-70-5
05664;meprobamato;57-53-4
05665;meproscilarina;33396-37-1
05666;meprotixol;4295-63-0
05667;meptazinol;54340-58-8
05669;mequidox;16915-79-0
05670;mequinol;150-76-5
05671;mequitazina;29216-28-2
05672;meradimato;134-09-8
05673;merafloxacino;110013-21-3
05674;meraleína sódica;4386-35-0
05675;meralurida;8069-64-5
05676;merbromina;129-16-8
05678;mercaptamina;60-23-1
05679;mercaptomerina;20223-84-1
05680;mercaptopurina;50-44-2
05681;mercuderamida;525-30-4
05682;mercumatilina sódica;60135-06-0
10421;Mercurius corrosivus ;[Ref. 8]
10422;Mercurius cyanatus ;[Ref. 8]
10423;Mercurius dulcis ;[Ref. 8]
10424;Mercurius iodatus flavus ;[Ref. 8]
10425;Mercurius solubilis ;[Ref. 8]
10426;Mercurius sulphuratus ruber ;[Ref. 8]
10427;Mercurius vivus ;[Ref. 8]
05683;mercurobutol;498-73-7
05684;mercurofilina;8012-34-8
07899;merfalana;531-76-0
05685;mergocriptina;81968-16-3
05686;meribendana;119322-27-9
05687;merisoprol (197 Hg);5579-94-2
05688;meropeném;96036-03-2
09494;meropeném tri-hidratado;119478-56-7
05689;mersalila;492-18-2
05690;mertiatida;66516-09-4
09795;mertiatida (99m Tc);125224-05-7
05691;mesabolona;7483-09-2
05692;mesalazina;89-57-6
05693;meseclazona;29053-27-8
00427;mesilato de adinazolam;57938-82-6
00456;mesilato de alatrofloxacino;157605-25-9
00656;mesilato de amidefrina;1421-68-7
00663;mesilato de amifloxacino;88036-80-0
00817;mesilato de antazolina;3131-32-6
01129;mesilato de benzatropina;132-17-2
01311;mesilato de bitolterol;30392-41-7
01466;mesilato de bromocriptina;22260-51-1
09710;mesilato de casopitanto;414910-30-8
02062;mesilato de cilobamina;69429-85-2
02306;mesilato de clonitazeno;[Ref. 3]
02323;mesilato de clopipazana;60086-22-8
03024;mesilato de codergocrina;8067-24-1
02595;mesilato de colterol;17605-73-1
02627;mesilato de crisnatol;96389-69-4
10651;mesilato de dabrafenibe;1195768-06-9
02677;mesilato de danofloxacino;119478-55-6
02735;mesilato de delavirdina;147221-93-0
02726;mesilato de desferroxamina;138-14-7
02889;mesilato de dezaguanina;87434-82-0
05694;mesilato de di-hidroergocornina;14271-04-6
03019;mesilato de di-hidroergocristina;24730-10-7
03021;mesilato de di-hidroergotamina;6190-39-2
03077;mesilato de dimetotiazina;13115-40-7
03175;mesilato de dolasetrona;115956-13-3
03210;mesilato de doxazosina;77883-43-3
03384;mesilato de endralazina;65322-72-7
09495;mesilato de eprosartana;144143-96-4
10068;mesilato de eribulina;441045-17-6
09623;mesilato de etexilato de dabigatrana;593282-20-3
04017;mesilato de fentolamina;65-28-1
09466;mesilato de gemifloxacino;204519-65-3
04821;mesilato de imatinibe;220127-57-1
05079;mesilato de isoetarina;7279-75-6
11119;mesilato de lenvatinibe;857890-39-2
10811;mesilato de lomitapida;202914-84-9
05411;mesilato de loprazolam;70111-54-5
05500;mesilato de maprotilina;58902-67-3
06274;mesilato de nelfinavir;159989-65-8
06406;mesilato de nisbuterol;60734-88-5
06876;mesilato de pefloxacino;70458-95-6
06990;mesilato de pergolida;66104-23-2
05695;mesilato de pralidoxima;154-97-2
07529;mesilato de quadazocina;71276-44-3
09601;mesilato de rasagilina;161735-79-1
09468;mesilato de reboxetina;98769-82-5
11120;mesilato de safinamida;202825-46-5
07893;mesilato de saquinavir;149845-06-7
05696;mesilato de sevitrópio;88199-75-1
08684;mesilato de tirilazade;149042-61-5
08934;mesilato de trioxifeno;68307-81-3
08988;mesilato de trovafloxacino;147059-75-4
09222;mesilato de xorfanol;77287-90-2
09276;mesilato de ziprasidona;199191-69-0
11180;mesilato sódico de isoniazida;3804-89-5
05697;mesna;19767-45-4
05698;mesocarbe;34262-84-5
05699;mesoridazina;5588-33-0
05700;mespiperona (11C);94153-50-1
05701;mespirenona;87952-98-5
05702;messudipino;62658-88-2
05708;messulergina;64795-35-3
05703;messulfamida;122-89-4
05704;messulfeno;135-58-0
05709;messuprina;7541-30-2
05710;messuximida;77-41-8
05705;mestanolona;521-11-9
05706;mesterolona;1424-00-6
05707;mestranol;72-33-3
05711;metabissulfito de sódio;7681-57-4
05712;metabronsalana;2577-72-2
05713;metacetamol;621-42-1
05714;metaciclina;914-00-1
05715;metaclazepam;65517-27-3
05716;metacresol;108-39-4
05717;metadona;76-99-3
05720;metaexamida;565-33-3
05722;metafenileno;493-78-7
05721;metafosfato de potássio;7790-53-6
03223;metafosfato sódico de doxiciclina;83038-87-3
05723;metaglicodol;13980-94-4
05724;metalenestrila;517-18-0
05725;metalibure;926-93-2
05726;metamelfalana;1088-80-8
05727;metampicilina;6489-97-0
05728;metampicilina sódica;6489-61-8
05729;metandienona;72-63-9
05730;metandriol;521-10-8
05731;metanfazona;54063-49-9
05732;metanfepramona;15351-09-4
05733;metanfetamina;537-46-2
05736;metaniazida;13447-95-5
05737;metanixino;4394-04-1
02824;metanossulfobenzoato sódico de dexametasona;3936-02-5
05738;metapirileno;91-80-5
05742;metapramina;21730-16-5
05743;metaqualona;72-44-6
05744;metaraminol;54-49-9
05747;metarbital;50-11-3
05748;metassilicato de sódio;6834-92-0
05749;metastiridona;721-19-7
05750;metaterol;3571-71-9
05751;metaxalona;1665-48-1
05752;metazamida;14058-90-3
05753;metazida;1707-15-9
05754;metazocina;3734-52-9
05757;metazolamida;554-57-4
05758;metbufeno;63472-04-8
05759;metcefamida;66960-34-7
05761;metdilazina;1982-37-2
05762;metenamina;100-97-0
05769;meteneprosta;61263-35-2
05770;metenolona;153-00-4
05773;meteptazina;469-78-3
05774;metergolina;17692-51-2
05775;metescufilina;15518-82-8
05776;metesculetol;52814-39-8
05777;metesinda;138384-68-6
05778;metestrol;130-73-4
05779;metetoeptazina;509-84-2
05780;metetoína;5696-06-0
05781;metformina;657-24-9
05784;metiamida;34839-70-8
05785;metiapina;5800-19-1
05786;metibrida;77989-60-7
05787;meticilina;61-32-5
05788;meticlotiazida;135-07-9
05789;meticrano;1084-65-7
05790;metilarsonato de sódio;144-21-8
00834;metilbrometo de apomorfina;602-81-3
00932;metilbrometo de atropina;2870-71-5
01083;metilbrometo de benactizina;3166-62-9
02559;metilbrometo de codeína;125-27-9
03518;metilbrometo de escopolamina;155-41-9
03975;metilbrometo de fenomorfano;[Ref. 3]
04747;metilbrometo de homatropina;80-49-9
06108;metilbrometo de morfina;125-23-5
05791;metilbrometo de octatropina;80-50-2
05792;metilbrometo de tiexinol;72199-91-2
09933;metilbutirato de etila;7452-79-1
05793;metilcelulose;9004-67-5
11075;metilclostebol;5785-58-0
05794;metilcromona;85-90-5
05795;metildesorfina;16008-36-9
05797;metildigoxina;30685-43-9
05798;metildi-hidromorfina;509-56-8
05799;metildopa;555-30-6
09496;metildopa sesqui-hidratada;41372-08-1
10946;metilecgonidina;43021-26-7
10947;metilecgonina;7143-09-1
10948;metilenodioxietilanfetamina;82801-81-8
10949;metilenodioximetanfetamina;42542-10-9
05801;metilergometrina;113-42-8
05804;metilestradiol;302-76-1
05805;metilfenidato;113-45-1
05807;metilfenobarbital;115-38-8
05808;metilfentanila;[Ref. ]
11076;metilnaltrexona;83387-25-1
10950;metilona;186028-79-5
05809;metilparabeno;99-76-3
09516;metilparabeno sódico;5026-62-0
05810;metilpentinol;77-75-8
11281;metilpirrolidona;872-50-4
05812;metilprednisolona;83-43-2
11181;metilsamidorfano;1119-361-12-4
05818;metilsulfato de amezínio;30578-37-1
05819;metilsulfato de bevônio;5205-82-3
05820;metilsulfato de difemanila;62-97-5
02980;metilsulfato de difenidramina;[Ref. 4]
05821;metilsulfato de fenclexônio;30817-43-7
05822;metilsulfato de hexocíclio;115-63-9
05823;metilsulfato de laudéxio;3253-60-9
05824;metilsulfato de mefenidrâmio;4858-60-0
06288;metilsulfato de neostigmina;51-60-5
05825;metilsulfato de pentapipério;7681-80-3
05826;metilsulfato de poldônio;545-80-2
09497;metilsulfato de pralidoxima;1200-55-1
05827;metilsulfato de rimazólio;28610-84-6
05828;metilsulfato de roxolônio;53862-80-9
05829;metilsulfato de tematrópio;113932-41-5
05830;metilsulfato de tiazinâmio;58-34-4
05831;metilsulfato de tolocônio;552-92-1
05832;metiltestosterona;58-18-4
05833;metiltiofentanila;[Ref. ]
